timestamp,campaign_id,variant,ctr,sentiment,polarity,conversions,trend_score
2025-11-15T09:43:53.173835,cmp_history_22,variant_2,0.0189,-0.9065,-0.9516,53,0.7765
2025-11-15T09:43:53.173850,cmp_history_18,variant_3,0.1384,-0.0148,-0.0196,29,0.0845
2025-11-15T09:43:53.173872,cmp_history_13,variant_5,0.0399,0.6574,0.7192,3,0.6581
2025-11-15T09:43:53.173880,cmp_history_7,variant_4,0.0706,0.683,0.7383,0,-0.1546
2025-11-15T09:43:53.173889,cmp_history_29,variant_4,0.0226,-0.9112,-0.8978,73,0.4336
2025-11-15T09:43:53.173901,cmp_history_6,variant_5,0.0364,-0.9991,-1.0,68,0.2902
2025-11-15T09:43:53.173915,cmp_history_8,variant_3,0.0039,0.8229,0.7611,68,0.0971
2025-11-15T09:43:53.173934,cmp_history_3,variant_3,0.1124,-0.4755,-0.4538,9,0.6943
2025-11-15T09:43:53.173949,cmp_history_20,variant_1,0.1095,-0.3183,-0.3917,11,0.9852
2025-11-15T09:43:53.173962,cmp_history_7,variant_4,0.035,-0.9686,-0.9671,65,0.3084
2025-11-15T09:43:53.173986,cmp_history_8,variant_3,0.1192,0.1065,0.1238,63,0.0349
2025-11-15T09:43:53.173998,cmp_history_23,variant_2,0.0444,-0.8214,-0.7662,47,-0.0478
2025-11-15T09:43:53.174011,cmp_history_25,variant_5,0.0501,-0.8721,-0.8597,12,0.0584
2025-11-15T09:43:53.174031,cmp_history_1,variant_4,0.0128,0.3199,0.2427,79,0.8322
2025-11-15T09:43:53.174039,cmp_history_20,variant_2,0.0767,0.9379,0.862,8,0.3659
2025-11-15T09:43:53.174046,cmp_history_17,variant_5,0.1692,-0.0051,-0.0963,51,0.4795
2025-11-15T09:43:53.174053,cmp_history_1,variant_4,0.0834,-0.3693,-0.4514,36,0.7626
2025-11-15T09:43:53.174060,cmp_history_22,variant_4,0.1789,0.5134,0.549,26,0.778
2025-11-15T09:43:53.174067,cmp_history_14,variant_5,0.1645,-0.7192,-0.7163,35,0.3534
2025-11-15T09:43:53.174077,cmp_history_5,variant_4,0.0241,-0.7901,-0.7604,45,-0.0762
